# Observed Wavelength Air (nm)  	 
# Unc.  (nm)  	 
# Ritz Wavelength Air (nm)  	 
# Unc.  (nm)  
#  Rel.  Int.  (?) 
#  Aki (s-1)  
#  Acc.  Ei (cm-1)  
#   Ek (cm-1)  
#  Lower Level Conf., Term, J  
#  Upper Level Conf., Term, J  
#  Type  TP Ref.  
# Line
# Ref.
# 																		 
411.2865    	0.0020   	411.2865    	0.0020    	 100  	  	   	148 257.7898  	-  	172 564.88    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9d  	 2[1/2]°  	 0  		  	L3469
412.6941    	0.0020   	412.69650   	0.00004   	 20  	  	   	148 257.7898  	-  	172 481.8376  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)10s  	 2[3/2]°  	 1  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
412.8072    	0.0020   	412.80756   	0.00009   	 300  	  	   	148 257.7898  	-  	172 475.321   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)10s  	 2[3/2]°  	 2  		  	L3469
413.0512    	0.0020   	413.05240   	0.00019   	 200  	  	   	148 257.7898  	-  	172 460.966   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)7d  	 2[3/2]°  	 1  		  	L3469
413.10613   	0.00020  	413.10605   	0.00014   	 700  	  	   	148 257.7898  	-  	172 457.823   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)7d  	 2[3/2]°  	 2  		  	L4498
416.48079   	0.00020  	416.48067   	0.00007   	 500  	  	   	148 257.7898  	-  	172 261.741   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)8s  	 2[1/2]°  	 1  		  	L4498
416.6091    	0.0020   	416.60990   	0.00016   	 300  	  	   	148 257.7898  	-  	172 254.295   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)8s  	 2[1/2]°  	 0  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
417.3966    	0.0020   	417.3952    	0.0009    	 20  	  	   	148 257.7898  	-  	172 209.15    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8d  	 2[3/2]°  	 1  		  	L3469
417.43667   	0.00020  	417.43665   	0.00019   	 700  	  	   	148 257.7898  	-  	172 206.770   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8d  	 2[3/2]°  	 2  		  	L4498
417.52197   	0.00020  	417.52194   	0.00019   	 600  	  	   	148 257.7898  	-  	172 201.878   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8d  	 2[1/2]°  	 1  		  	L4498
417.5488    	0.0020   	417.5489    	0.0010    	 400  	  	   	148 257.7898  	-  	172 200.33    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)8d  	 2[1/2]°  	 0  		  	L3469
419.6415    	0.0020   	419.64197   	0.00009   	 150  	  	   	148 257.7898  	-  	172 080.915   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9s  	 2[3/2]°  	 1  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
419.81018   	0.00020  	419.80984   	0.00012   	 700  	  	   	148 257.7898  	-  	172 071.389   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9s  	 2[3/2]°  	 2  		  	L4498
420.3270    	0.0020   	420.3267    	0.0012    	 20*  	  	   	149 824.2215  	-  	173 608.54    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[5/2]°  	 3  		  	L3469
420.3270    	0.0020   	420.3272    	0.0009    	 20*  	  	   	149 824.2215  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[5/2]°  	 2  		  	L3469
420.3270    	0.0020   	420.3272    	0.0014    	 20*  	  	   	149 824.2215  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)10d  	 2[3/2]°  	 2  		  	L3469
423.2323    	0.0020   	423.2324    	0.0020    	 10  	  	   	149 657.0392  	-  	173 278.07    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)13d  	 2[7/2]°  	 4  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
424.9538    	0.0020   	424.9547    	0.0011    	 20  	  	   	149 824.2215  	-  	173 349.52    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)9d  	 2[5/2]°  	 3  		  	L3469
425.2418    	0.0020   	425.2419    	0.0020    	 20  	  	   	149 657.0392  	-  	173 166.45    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)12d  	 2[5/2]°  	 3  		  	L3469
425.2775    	0.0020   	425.2775    	0.0020    	 20  	  	   	149 657.0392  	-  	173 164.48    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)12d  	 2[7/2]°  	 4  		  	L3469
425.6498    	0.0020   	425.6491    	0.0009    	 20*  	  	   	150 121.5922  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)10d  	 2[5/2]°  	 2  		  	L3469
425.6498    	0.0020   	425.6491    	0.0015    	 20*  	  	   	150 121.5922  	-  	173 608.51    	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)10d  	 2[3/2]°  	 2  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
425.9739    	0.0020   	425.9726    	0.0016    	 10  	  	   	149 657.0392  	-  	173 126.12    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°3/2)13s  	 2[3/2]°  	 2  		  	L3469
426.2479    	0.0020   	426.2478    	0.0020    	 20  	  	   	149 824.2215  	-  	173 278.15    	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°3/2)13d  	 2[7/2]°  	 3  		  	L3469
426.7286    	0.0020   	426.72870   	0.00006   	 10  	  	   	148 257.7898  	-  	171 685.289   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)7d  	 2[5/2]°  	 2  		  	L3469
426.7724    	0.0020   	426.77197   	0.00017   	 50  	  	   	148 257.7898  	-  	171 682.914   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)7d  	 2[3/2]°  	 1  		  	L3469
426.80086   	0.00020  	426.80050   	0.00011   	 700  	  	   	148 257.7898  	-  	171 681.348   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)7d  	 2[3/2]°  	 2  		  	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
426.97223   	0.00020  	426.97221   	0.00020   	 700  	  	   	148 257.7898  	-  	171 671.928   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)7d  	 2[1/2]°  	 1  		  	L4498
427.02252   	0.00020  	427.02248   	0.00020   	 500  	  	   	148 257.7898  	-  	171 669.172   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)7d  	 2[1/2]°  	 0  		  	L4498
427.46617   	0.00020  	427.46600   	0.00006   	 500  	  	   	148 257.7898  	-  	171 644.882   	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)6d  	 2[3/2]°  	 1  		  	L4498
